SA2_NAME,SA2_MAINCODE,Number of available beds,Population,Weekly_Earnings,No_of_Dwellings,No_of_employed_persons,No_of_tertiary_educated,Monthly_Mortgage_Repayment,Number_of_renters,No_of_indigenous_ppl
ACT - South West,801111140,45.7,5158.0,162.0,190.0,317,109.0,53.0,31,0
Acton - Upper Burnie,604011075,145.0,3206.0,1394.0,1628.0,1184,135.0,438.0,556,5
Adelaide,401011001,812.0,16285.0,5521.0,8147.0,5972,5237.0,904.0,3978,7
Adelaide Hills,401021003,17.0,6914.0,2367.0,2670.0,3558,944.0,1132.0,227,0
Airlie - Whitsundays,312031359,33.0,13375.0,3381.0,5701.0,6653,1359.0,1061.0,1788,22
Aitkenvale,318021467,749.0,4908.0,1816.0,2132.0,2004,726.0,472.0,819,35
Alawa,701021010,1243.0,2286.0,633.0,788.0,1036,422.0,251.0,220,20
Albany,509011225,128.0,14622.0,5550.0,7505.0,6003,1828.0,1296.0,2047,4
Albany Region,509011226,145.7,3501.0,1078.0,1578.0,1653,438.0,319.0,233,0
Albury - East,109011172,322.9,15321.0,4622.0,6176.0,7429,2363.0,1978.0,1567,3
Albury - North,109011173,322.9,10004.0,3570.0,4552.0,4233,1011.0,1274.0,1263,10
Albury - South,109011174,645.8,10686.0,4247.0,5281.0,4676,1969.0,1095.0,1574,6
Albury Region,109011175,691.0,11784.0,3919.0,4961.0,5282,1136.0,1425.0,683,9
Alexandra,204011054,18.0,6474.0,2478.0,3947.0,2652,691.0,679.0,505,0
Alfredton,201011001,360.0,11852.0,2762.0,4385.0,5747,2019.0,1250.0,1024,3
Alphington - Fairfield,206021110,196.0,9434.0,3286.0,3970.0,4921,3275.0,1034.0,1351,3
Alps - West,205051099,9.0,24.0,9.0,12.0,17,0.0,3.0,3,0
Andergrove - Beaconsfield,312021342,227.0,15229.0,4835.0,6318.0,6918,1145.0,1925.0,1869,210
Annandale,318021468,749.0,10377.0,2744.0,3011.0,5168,1698.0,1095.0,740,10
Ararat,215011386,38.0,8386.0,3062.0,3711.0,3248,624.0,940.0,881,0
Ararat Region,215011387,56.0,3198.0,1183.0,1595.0,1420,357.0,288.0,189,0
Armidale,110011186,96.7,24114.0,7979.0,9894.0,9636,4954.0,2188.0,3203,20
Armidale Region - North,110011187,145.4,4558.0,1599.0,2111.0,2043,506.0,426.0,473,8
Armidale Region - South,110011188,120.7,6120.0,2186.0,2694.0,2739,883.0,744.0,465,5
Aroona - Currimundi,316021417,32.0,10281.0,3572.0,4102.0,4422,1132.0,1241.0,936,10
Ashburton (WA),510031271,16.0,13311.0,1936.0,3590.0,8305,1244.0,68.0,1814,41
Ashfield - Kepnock,319011492,247.0,5332.0,1811.0,2179.0,2014,367.0,544.0,631,13
Asquith - Mount Colah,121021403,261.3,18856.0,5872.0,6384.0,9611,4575.0,2754.0,797,3
Atherton,306051166,64.0,10943.0,3991.0,5086.0,4377,1035.0,954.0,1421,131
Auburn - Central,125011582,171.0,0,0,5031.0,6277,2791.0,0,1954,0
Augusta,501011001,28.0,5559.0,1693.0,3341.0,2479,742.0,430.0,540,0
Avoca,201031013,100.0,3323.0,1373.0,1837.0,1209,266.0,378.0,197,0
Ayr,318011460,31.0,9235.0,3478.0,4306.0,4015,640.0,932.0,1142,93
Babinda,306031158,84.0,4300.0,1544.0,2161.0,1892,318.0,427.0,398,35
Bacchus Marsh,213041353,39.0,20989.0,6080.0,8031.0,9307,2174.0,2768.0,1603,0
Bacchus Marsh Region,201021009,39.0,5982.0,2016.0,2629.0,2698,713.0,946.0,267,4
Bairnsdale,205021081,101.0,14899.0,5314.0,6816.0,5729,1288.0,1543.0,1644,3
Balcatta - Hamersley,505021084,164.8,15990.0,6067.0,7054.0,7202,2664.0,1945.0,1701,0
Ballarat,201011002,360.0,12301.0,4761.0,5766.0,5491,3014.0,1270.0,1647,0
Ballarat - North,201011003,360.0,23539.0,8621.0,10679.0,10533,4019.0,3010.0,2701,0
Ballarat - South,201011004,360.0,24654.0,9212.0,11626.0,9991,2922.0,2980.0,3873,13
Ballina,112011236,69.8,17555.0,7008.0,8741.0,6346,2105.0,1289.0,2673,15
Ballina Region,112011237,69.8,17247.0,5891.0,6945.0,7280,2671.0,1916.0,1312,6
Balmain,120021387,81.2,16629.0,6257.0,7517.0,8376,6599.0,1853.0,2509,0
Balonne,307011171,10.0,4461.0,1619.0,2240.0,2149,377.0,396.0,577,11
Banana,308041528,74.0,8687.0,3090.0,4408.0,4336,577.0,782.0,944,12
Bangalow,112011238,340.8,6006.0,1928.0,2549.0,2582,1242.0,648.0,528,0
Bankstown - South,119011572,390.0,0,0,5242.0,5602,2154.0,0,2066,0
Barcaldine - Blackall,315031408,57.0,4834.0,2066.0,2664.0,2383,381.0,443.0,593,15
Bargara - Burnett Heads,319011493,247.0,16912.0,5782.0,8350.0,6431,2096.0,1705.0,1816,27
Barkly,702021055,85.0,2857.0,512.0,1170.0,605,94.0,7.0,437,5
Barmera,407031159,102.0,6665.0,2504.0,3073.0,2815,406.0,862.0,618,4
Barossa - Angaston,405011110,75.0,6266.0,2255.0,2750.0,2992,694.0,935.0,435,0
Bateau Bay - Killarney Vale,102021044,22.0,22478.0,8037.0,9083.0,9330,2054.0,2871.0,1973,12
Bateman,507041176,928.6,3840.0,1243.0,1386.0,1803,1146.0,443.0,283,0
Batemans Bay,101041017,34.9,7871.0,2969.0,4643.0,2540,639.0,682.0,989,4
Batemans Bay - South,101041018,34.9,8510.0,3174.0,5806.0,2862,970.0,725.0,905,8
Bathurst,103011058,111.5,24454.0,8356.0,10471.0,10443,3380.0,2604.0,3266,27
Bathurst - East,103011059,111.5,11424.0,3180.0,4171.0,4906,1197.0,1301.0,927,14
Bathurst Region,103011060,167.29999999999998,7006.0,2310.0,3051.0,3124,875.0,881.0,282,10
Bayonet Head - Lower King,509011227,128.0,4899.0,1490.0,2065.0,2129,526.0,559.0,379,3
Beachmere - Sandstone Point,313011362,265.0,15313.0,5105.0,6722.0,5234,1026.0,1545.0,1546,11
Beaudesert,311011305,28.0,14196.0,4444.0,5835.0,5356,866.0,1345.0,1771,39
Beaufort,201031014,16.0,4454.0,1515.0,1992.0,1628,348.0,456.0,233,3
Beauty Point - Beaconsfield,602021053,4.0,3799.0,1542.0,2320.0,1252,269.0,471.0,305,4
Beechworth,204031068,13.0,4632.0,1594.0,2095.0,1999,890.0,509.0,350,0
Bega - Tathra,101041019,90.5,8593.0,3130.0,3988.0,3480,1064.0,956.0,923,3
Bega-Eden Hinterland,101041020,129.6,8952.0,3302.0,4402.0,3709,1189.0,1145.0,461,11
Belconnen,801011002,278.0,6743.0,1914.0,3314.0,3583,2779.0,400.0,1918,0
Bellevue Heights,403031066,656.0,7569.0,2546.0,2891.0,3158,2162.0,932.0,482,4
Bellingen,104021083,68.8,6007.0,2173.0,2564.0,2256,1110.0,654.0,547,4
Belmont - Bennetts Green,111011206,118.9,18223.0,6445.0,7386.0,7657,2017.0,2228.0,1518,3
Belmont South - Blacksmiths,111011207,118.9,5745.0,2351.0,2735.0,2241,453.0,564.0,762,3
Benalla,204021063,55.0,10420.0,4260.0,5156.0,3993,919.0,1217.0,1222,3
Bendigo,202011018,414.0,14770.0,5812.0,7378.0,6047,2205.0,1622.0,2543,11
Bendigo Region - South,202021026,24.0,7346.0,2090.0,2741.0,3523,1039.0,1017.0,200,3
Bentleigh East (North),208021426,128.0,0,0,5792.0,7104,3796.0,0,1222,0
Bentley - Wilson - St James,506031124,182.4,21057.0,7131.0,8840.0,8276,4840.0,1601.0,3364,3
Berkeley - Lake Heights - Cringila,107011545,57.3,0,0,5517.0,5007,875.0,0,1557,8
Berri,407031160,53.0,4211.0,1684.0,2077.0,1507,342.0,419.0,719,7
Berry - Kangaroo Valley,114011272,26.0,8953.0,3371.0,4635.0,3452,1569.0,843.0,597,3
Berwick - South,212021294,240.0,26874.0,7001.0,8275.0,12630,4339.0,4291.0,1818,0
Beverley,404011090,300.0,7936.0,2820.0,3434.0,3734,1189.0,995.0,1004,6
Bidwill - Hebersham - Emerton,116031313,109.5,18948.0,5598.0,6232.0,5760,872.0,1610.0,2733,23
Biloela,308041529,24.0,5883.0,2067.0,2580.0,2849,494.0,679.0,840,32
Bilpin - Colo - St Albans,115031299,622.4,2795.0,848.0,1320.0,1214,328.0,357.0,130,0
Blacktown (East) - Kings Park,116011303,448.3,17519.0,5365.0,6179.0,7824,3569.0,1738.0,2699,12
Blacktown (North) - Marayong,116011304,448.3,18627.0,5573.0,6295.0,7938,2743.0,2073.0,2078,15
Blacktown (West),116011561,448.3,0,0,5460.0,7275,2587.0,0,1641,0
Blayney,103041076,458.70000000000005,7355.0,2555.0,3201.0,3235,744.0,922.0,618,5
Bli Bli,316071545,150.0,8510.0,2399.0,3306.0,3766,932.0,1018.0,590,10
Blue Mountains - South,124021456,17.9,4.0,0.0,17.0,0,0.0,0.0,3,0
Bohle Plains,318021470,34.0,7416.0,1721.0,2573.0,3744,805.0,858.0,745,17
Bombala,101031013,64.0,2420.0,1009.0,1323.0,1067,199.0,250.0,205,0
Bonnells Bay - Silverwater,111021216,121.7,8931.0,3014.0,3908.0,3596,1015.0,1065.0,744,3
Boonah,310021277,489.0,12153.0,4017.0,5051.0,5234,986.0,1350.0,835,28
Booral - River Heads,319041516,192.0,4637.0,1477.0,1878.0,1742,353.0,617.0,286,6
Bossley Park - Abbotsbury,127021510,271.8,19498.0,5246.0,5687.0,8074,2143.0,2078.0,1121,0
Bouldercombe,308031206,12.0,1883.0,651.0,811.0,806,100.0,252.0,95,3
Bourke - Brewarrina,105011092,20.0,4185.0,1398.0,1978.0,1414,279.0,258.0,634,13
Bowen,312011337,27.0,9208.0,3148.0,4652.0,3813,580.0,785.0,1469,82
Bowral,114021284,70.7,13218.0,4782.0,6052.0,4972,2867.0,1342.0,917,4
Box Hill,207031163,536.0,20839.0,6464.0,8728.0,8852,6339.0,1759.0,3346,0
Boyne Island - Tannum Sands,308051531,79.0,10073.0,3120.0,4314.0,4466,922.0,1387.0,1069,10
Bradbury - Wedderburn,123021436,451.8,19523.0,6252.0,6755.0,7685,1407.0,2391.0,2351,26
Braidwood,101021007,269.8,3950.0,1306.0,2294.0,1646,660.0,401.0,271,0
Branxton - Greta - Pokolbin,106011107,224.8,10365.0,3150.0,4130.0,4775,906.0,1384.0,791,4
Branyan - Kensington,319011494,247.0,4758.0,1365.0,1794.0,1982,383.0,569.0,304,10
Brassall,310031283,439.0,11222.0,3374.0,4400.0,4534,884.0,1019.0,1795,20
Bridgetown - Boyup Brook,501031017,57.2,6419.0,2340.0,3314.0,2689,614.0,769.0,509,0
Bright - Mount Beauty,204031069,23.0,8299.0,2994.0,5744.0,3678,1243.0,880.0,1015,0
Brinkin - Nakara,701021013,1243.0,3839.0,917.0,1136.0,1886,1000.0,305.0,354,16
Brinsmead,306011138,652.0,5547.0,1793.0,2128.0,2870,841.0,848.0,443,48
Broadmeadows,210051242,164.0,13916.0,3674.0,4862.0,3838,1323.0,969.0,1878,3
Broadsound - Nebo,312011338,25.0,8745.0,2816.0,4946.0,3898,532.0,274.0,1609,23
Broken Hill,105021097,123.9,18114.0,7435.0,9658.0,6902,1263.0,2166.0,1765,13
Brookton,509031246,11.0,3836.0,1395.0,1913.0,1547,232.0,312.0,382,19
Broome,510011262,66.0,14535.0,4077.0,7363.0,6774,1962.0,951.0,2682,185
Broulee - Tomakin,101041021,56.1,3341.0,1142.0,2347.0,1235,518.0,273.0,289,3
Bruce,801011003,278.0,7147.0,1894.0,2794.0,3838,2864.0,523.0,1398,6
Brunswick,206011105,245.3,27435.0,9300.0,12306.0,15111,10727.0,2332.0,5387,7
Brunswick Heads - Ocean Shores,112011239,44.8,8602.0,3149.0,4169.0,3454,1435.0,939.0,1033,23
Bruthen - Omeo,205021082,115.0,7902.0,2812.0,3838.0,3479,706.0,978.0,392,0
Buddina - Minyama,316021418,567.0,6718.0,2565.0,3117.0,2929,1043.0,664.0,756,6
Bulahdelah - Stroud,108011151,111.0,4785.0,1775.0,2361.0,1857,350.0,537.0,327,5
Buloke,215031400,55.0,6285.0,2617.0,3211.0,2486,513.0,591.0,447,0
Bundaberg,319011495,247.0,6250.0,2580.0,3209.0,2151,573.0,448.0,1508,25
Bundaberg East - Kalkie,319011496,247.0,5564.0,1885.0,2361.0,2203,489.0,634.0,661,17
Bundaberg North - Gooburrum,319011497,247.0,7304.0,2764.0,3365.0,2482,498.0,707.0,769,12
Bundaberg Region - North,319011498,247.0,8971.0,2882.0,4015.0,3279,559.0,1093.0,601,17
Bundaberg Region - South,319011499,269.0,9921.0,3537.0,5196.0,3432,622.0,1097.0,786,17
Bundoora - East,209011196,86.0,10292.0,3371.0,3780.0,4408,1891.0,1181.0,718,0
Buninyong,201011005,360.0,7311.0,2148.0,2569.0,3287,1468.0,957.0,389,0
Bunyip - Garfield,212011288,9.0,8928.0,2727.0,3264.0,4191,763.0,1235.0,396,0
Burdekin,318011461,45.0,8036.0,2980.0,4051.0,3803,441.0,817.0,748,54
Burnie - Wivenhoe,604011077,145.0,3688.0,1606.0,1924.0,1438,321.0,476.0,604,4
Burrum - Fraser,319051522,305.0,9693.0,3314.0,4986.0,2645,558.0,945.0,983,24
Busselton,501011002,64.0,26935.0,8047.0,12369.0,11097,2464.0,2555.0,2815,0
Busselton Region,501011003,68.6,10755.0,2929.0,6356.0,4940,1738.0,1008.0,868,0
Byron Bay,112011240,44.8,10203.0,3300.0,5026.0,4307,2105.0,848.0,1212,4
Caboolture,313021365,265.0,27678.0,7773.0,10775.0,9991,1698.0,2377.0,4351,85
Caboolture - South,313021366,265.0,20740.0,6239.0,7723.0,7530,1045.0,1769.0,3552,70
Cabramatta West - Mount Pritchard,127021512,821.7,17713.0,4680.0,5360.0,6150,1319.0,1539.0,1591,5
Cairns City,306021145,652.0,11906.0,3830.0,5905.0,5358,2177.0,685.0,2596,117
Calga - Kulnura,102011030,576.3,4858.0,1498.0,2205.0,2249,609.0,513.0,403,0
Callemondah,308051532,79.0,17.0,40.0,17.0,0,0.0,3.0,0,0
Caloundra - Kings Beach,316021419,32.0,6885.0,2778.0,4791.0,2455,860.0,359.0,1522,0
Caloundra - West,316021420,32.0,20815.0,5307.0,7789.0,8735,1980.0,2071.0,2042,7
Caloundra Hinterland,316061440,25.0,8726.0,3247.0,4198.0,3298,1697.0,938.0,668,6
Cambooya - Wyreema,317011445,507.0,7135.0,1813.0,2414.0,3354,846.0,973.0,346,0
Cambridge Park,124031457,595.5,16025.0,5117.0,5677.0,7747,1154.0,2502.0,1201,17
Camden - Ellis Lane,123011433,56.0,13273.0,4120.0,4741.0,6258,1850.0,1830.0,707,0
Campbellfield - Coolaroo,210051243,164.0,17122.0,4703.0,5472.0,4215,1086.0,1415.0,1370,5
Campbelltown - Woodbine,123021437,451.8,18741.0,5496.0,7171.0,7877,2430.0,2098.0,2471,11
Camperdown,217031471,25.0,3526.0,1409.0,1699.0,1398,308.0,370.0,330,0
Canberra East,801031113,45.7,0,0,554.0,341,83.0,0,174,0
Canterbury (South) - Campsie,119021363,175.0,31951.0,9019.0,11206.0,13768,6307.0,2354.0,4931,0
Cape Conway,312031360,33.0,0.0,0.0,0,0,0.0,0.0,0,0
Cape York,315011396,54.0,7775.0,2020.0,3732.0,2441,445.0,270.0,1439,637
Capel,501021007,64.0,5250.0,1632.0,2296.0,2414,447.0,665.0,371,3
Caringbah,128011602,344.9,0,0,5326.0,6048,1967.0,0,1751,10
Caringbah South,128011603,344.9,0,0,4408.0,5973,2328.0,0,440,7
Carlton,206041117,20.0,20242.0,6372.0,10555.0,6501,7276.0,595.0,6701,8
Carnarvon,511021276,43.0,5337.0,1846.0,3065.0,2121,370.0,426.0,843,9
Carpentaria,315021404,146.0,5067.0,1229.0,2252.0,1550,222.0,110.0,935,43
Casino,112021244,34.0,12495.0,4564.0,5292.0,4209,618.0,1298.0,1515,11
Casino Region,112021245,352.0,7079.0,2459.0,3052.0,2679,450.0,854.0,469,9
Castlemaine,202021027,54.0,10770.0,3941.0,5077.0,4042,2090.0,1172.0,942,3
Castlemaine Region,202021028,28.0,8621.0,3290.0,4408.0,3646,1532.0,1195.0,395,0
Castlereagh - Cranebrook,124031458,595.5,24364.0,5391.0,8043.0,12193,2680.0,2770.0,2064,8
Casula,127031522,821.7,16255.0,4410.0,5110.0,6595,2152.0,1863.0,1294,3
Caulfield - South,208021178,292.0,18393.0,6092.0,7281.0,8562,5991.0,1821.0,1897,0
Ceduna,406011129,15.0,2680.0,983.0,1315.0,1165,187.0,248.0,411,12
Central Highlands,603011065,34.0,2079.0,868.0,2542.0,791,169.0,226.0,201,0
Central Highlands - East,308011190,45.0,7569.0,2283.0,3716.0,3368,429.0,435.0,1519,70
Central Highlands - West,308011191,78.0,8253.0,2960.0,4588.0,3667,525.0,558.0,1031,10
Cessnock,106011108,48.3,22493.0,7213.0,8984.0,7790,1071.0,2264.0,2659,54
Cessnock Region,106011109,574.1999999999999,8073.0,2469.0,3283.0,3312,806.0,1055.0,302,6
Charles,702011045,319.0,4629.0,1442.0,1839.0,2049,599.0,502.0,583,9
Charleville,315031409,25.0,4386.0,1656.0,2316.0,2046,364.0,461.0,533,9
Charters Towers,318011462,54.0,8293.0,2856.0,3862.0,2930,622.0,795.0,1054,55
Cheltenham - Highett (East),208031188,195.0,23449.0,8021.0,9879.0,10847,5053.0,2723.0,2291,0
Chermside,302021028,703.0,9669.0,3660.0,4793.0,4318,1974.0,617.0,2483,17
Chermside West,302021029,703.0,6489.0,2241.0,2445.0,3085,1295.0,805.0,480,14
Chinchilla,307011172,81.0,8288.0,2445.0,3819.0,3457,579.0,658.0,1158,9
Chipping Norton - Moorebank,127031523,821.7,19420.0,5081.0,6366.0,8793,2821.0,2119.0,1045,0
Chittaway Bay - Tumbi Umbi,102021047,22.0,15884.0,5318.0,5884.0,7245,1498.0,2317.0,974,14
Christie Downs,403041073,106.0,9499.0,3529.0,4310.0,3226,563.0,1239.0,1569,20
Churchill,205041094,280.0,11594.0,3999.0,4879.0,4857,1294.0,1566.0,727,0
Churchill - Yamanto,310031285,439.0,6974.0,1982.0,2520.0,3199,467.0,827.0,813,17
Clare,405021116,25.0,4170.0,1517.0,1956.0,1923,472.0,496.0,461,0
Claremont (WA),503011031,168.0,8638.0,3051.0,4109.0,3559,3143.0,709.0,1058,0
Clayton,212051320,743.0,23672.0,5745.0,8114.0,7896,7063.0,962.0,4295,0
Clear Island Waters,309081259,377.0,4230.0,1527.0,1819.0,1742,750.0,419.0,358,0
Clermont,312011339,64.0,3753.0,1231.0,1853.0,1750,268.0,292.0,479,13
Cleveland,301021007,185.0,15344.0,5782.0,6826.0,6590,2156.0,1527.0,1968,18
Clifton Beach - Kewarra Beach,306011139,10.0,11209.0,3766.0,5393.0,5224,1767.0,1321.0,1528,42
Clinton - New Auckland,308051533,79.0,13880.0,3634.0,5705.0,6176,1334.0,1608.0,2033,69
Cobar,105011093,54.0,4783.0,1729.0,2474.0,2017,336.0,434.0,663,0
Cobbitty - Leppington,127011506,56.0,18389.0,1886.0,5921.0,8913,2238.0,536.0,1266,5
Coconut Grove,701021016,1243.0,3323.0,1137.0,1475.0,1558,646.0,286.0,683,15
Coffs Harbour - North,104021084,271.6,17845.0,6465.0,7982.0,6840,1812.0,1645.0,2553,13
Coffs Harbour - South,104021085,271.6,10531.0,3886.0,4672.0,3982,1237.0,836.0,1626,13
Colac,217031472,37.0,12450.0,4623.0,5608.0,5312,919.0,1453.0,1214,3
Colac Region,217031473,30.0,5381.0,1988.0,2442.0,2648,532.0,704.0,310,0
College Grove - Carey Park,501021008,164.8,6846.0,2394.0,3049.0,2681,500.0,763.0,1027,6
Collie,501021009,25.0,8856.0,3277.0,4060.0,3285,374.0,1284.0,749,11
Collinsville,312011340,35.0,3539.0,1393.0,1945.0,1489,168.0,363.0,333,15
Colonel Light Gardens,403031068,0.0,15933.0,5754.0,6366.0,7794,4081.0,2219.0,1295,0
Concord West - North Strathfield,120011384,15.2,26209.0,6292.0,10096.0,12491,9708.0,2043.0,4327,0
Condell Park,119011356,390.0,11841.0,2999.0,3573.0,4296,1319.0,1010.0,828,0
Condobolin,103021062,133.1,6807.0,2647.0,3167.0,2671,433.0,598.0,715,4
Coober Pedy,406021139,15.0,1818.0,710.0,1396.0,643,163.0,129.0,265,5
Coogee - Clovelly,118021348,669.5999999999999,27296.0,9583.0,11809.0,14144,9456.0,2213.0,5013,11
Cooloola,319031511,81.0,6351.0,2368.0,4176.0,1494,348.0,496.0,844,6
Cooloongup,507051186,195.5,8800.0,3242.0,3678.0,3305,432.0,1343.0,819,7
Cooma,101031014,33.0,6870.0,2685.0,3309.0,2901,712.0,818.0,844,3
Cooma Region,101031015,33.0,3327.0,1221.0,1983.0,1570,424.0,413.0,175,0
Coonabarabran,105031099,95.5,8100.0,3149.0,4034.0,2869,636.0,725.0,790,8
Coonamble,105011094,76.19999999999999,4245.0,1618.0,2125.0,1527,271.0,338.0,475,18
Coopers Plains,303041067,221.0,5717.0,1636.0,2120.0,2458,1372.0,464.0,850,7
Cootamundra,113031263,52.0,7677.0,2984.0,3678.0,2806,572.0,836.0,743,5
Coramba - Nana Glen - Bucca,104021086,271.6,3917.0,1261.0,1483.0,1735,444.0,527.0,222,5
Corangamite - North,217031474,45.0,5432.0,2146.0,2693.0,2312,475.0,578.0,429,0
Corangamite - South,217031475,39.0,7274.0,2620.0,3357.0,3458,583.0,845.0,606,0
Corowa,109031180,49.5,5539.0,2287.0,2756.0,2211,396.0,711.0,567,0
Corowa Region,109031181,71.5,6845.0,2537.0,3554.0,2747,472.0,770.0,538,6
Cowra,103021063,39.1,9300.0,3485.0,4268.0,3383,641.0,913.0,1087,16
Cowra Region,103021064,49.2,5519.0,2118.0,2745.0,2262,473.0,583.0,404,0
Craigieburn - South,210051443,14.0,0,0,5179.0,7244,2054.0,0,1251,0
Craignish - Dundowran Beach,319041517,192.0,4937.0,1538.0,1912.0,1934,518.0,648.0,228,4
Cranbourne,212031300,22.0,20888.0,6544.0,7647.0,8643,1534.0,2988.0,2041,0
Cranbourne East,212031301,22.0,26754.0,2698.0,8870.0,11913,3885.0,1592.0,1598,6
Cranbourne North,212031302,22.0,20985.0,4679.0,6592.0,9343,2489.0,2809.0,1354,9
Cranbourne South,212031303,22.0,9116.0,2214.0,3101.0,4509,772.0,1153.0,261,3
Cranbourne West,212031304,22.0,15685.0,2773.0,5090.0,7257,1750.0,1699.0,972,0
Cranbrook,318021472,749.0,6037.0,2166.0,2531.0,2480,810.0,679.0,673,55
Creswick - Clunes,201021010,6.0,7870.0,2881.0,3616.0,3167,923.0,1035.0,477,0
Crows Nest - Rosalie,307021179,10.0,8661.0,3028.0,3957.0,3360,654.0,827.0,698,5
Crows Nest - Waverton,121041414,843.4,19086.0,7623.0,9372.0,11144,8653.0,1945.0,4030,3
Croydon - Etheridge,315011397,16.0,1103.0,445.0,906.0,476,41.0,63.0,132,8
Cunderdin,509021237,11.9,4156.0,1488.0,1948.0,1646,267.0,342.0,407,0
Curtin,801091100,26.0,5325.0,1979.0,2153.0,2539,2062.0,626.0,492,5
Cygnet,603021070,9.0,4329.0,1536.0,2282.0,1562,699.0,523.0,311,15
